,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
angles for frame_30,141.90081337298247,130.2073329694741,147.90682514382505,140.83745719990225,49.33931132548249,173.5473095131454,141.92164066591056,45.38217140621053,160.547238012568,137.31712436536972,39.09711916463194,152.83520421095284,129.67234055557236,44.83234241141115,154.09396881797994
angles for frame_31,142.0515973150909,130.17383432193134,146.72506286679507,142.27029534192408,47.66216524005541,174.97277704303318,142.85240700495055,44.519344363332095,157.29497367637535,138.42320628714103,37.6245461871821,150.5308288361635,129.9109906219448,43.2892906379332,150.96746765381303
angles for frame_32,144.14987001790456,130.05331255645436,149.21329925080488,141.71680489647554,49.00839644220554,174.22983699411785,141.62244210443714,45.93801516919274,159.74599319864666,137.54198985156796,38.27758387016002,152.9240084358364,129.81145506135275,43.628092975257715,153.6162045046596
angles for frame_33,142.55652189750398,129.96711701468953,147.46084027395278,142.7525354500344,48.374476512343215,174.03578175897326,142.79419529468598,45.51526218303525,159.26554960015457,138.38014081685392,38.08972816907021,153.00047338907936,130.40235410203235,43.4566395703601,153.3551892845071
angles for frame_34,145.1359137445115,128.8688754900422,147.5061062422797,142.29848644616385,49.2743113526671,174.08118298667787,142.38620195919773,45.66637470740598,160.70977754196358,138.1899772573821,38.239611305795805,154.5384369056333,131.34317667482878,42.51069250023803,155.0032956152309
angles for frame_35,146.88078955156487,127.7416542354221,146.34704152572968,142.04643077579814,48.88834529278626,173.75028057423086,140.86938132580346,45.14221715151526,161.45825578859416,136.49710262279666,38.61274030940032,154.72490811665918,130.91073900447333,41.91284962373189,155.72380702288388
angles for frame_36,148.39456675791794,126.61896468868514,150.1141539487429,143.66343297314774,50.84655321627997,169.18651465442403,140.38346422655508,47.4586259589315,161.24084301841629,135.402170036859,41.14815486009811,154.75372084327634,130.484881900058,43.54955240552072,156.19981365106824
angles for frame_37,149.4336725193782,125.21872808215159,149.8968251617994,144.74688430370335,49.31116975454693,163.78346353813424,140.74828794683825,47.15220096707585,158.0068048058595,135.17079029307493,41.02659693673324,152.5334674253249,128.3870760947779,43.91861589807149,154.83208054741442
angles for frame_38,148.41900642685604,124.81104819008206,148.9364234682865,143.6933896083836,48.77859920840563,163.5960992140799,139.96425525728895,47.792904259901924,155.81925974810486,133.64675184037134,42.14744699429308,150.22677199575034,125.32879432657634,47.58151706047316,153.05870056567514
angles for frame_39,147.0774722123751,125.68079726930593,148.2005082113346,143.12769592414094,50.50001183998956,159.82898157215288,140.465369498067,46.175652401323276,157.824473931873,134.06501702289185,41.009540012135695,151.58537920585474,126.99604853886319,44.7291597190036,153.80668027458515
angles for frame_40,146.76901430752747,126.44284421396392,149.2593355113588,143.04288574368968,48.044062145173704,165.06780886204132,141.48860503417504,44.47280918143401,160.21558727475843,135.71682097192246,39.47231472921923,153.44590644638197,128.91763338295195,43.245123856092384,155.64845990405223
angles for frame_41,147.52831221412762,127.6484219495607,150.6668989819952,143.47710839363336,48.3140558058365,165.3689860247941,141.86143240418144,44.33001546330493,161.30375514271736,136.4814399474831,38.36987415729347,154.4098413529373,129.14655689601634,42.74938772294325,156.32335634470982
angles for frame_42,150.97189464992903,130.94766191195657,154.257505009775,145.75993555279055,52.79901019693803,166.87623749958223,146.48982271680336,44.1994709527397,164.60354838403705,140.68366276054982,36.65232065605217,159.2710231519983,133.0459884024049,38.75338854814427,159.06665431383826
