,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
angles for frame_97,40.2,42.8,35.7,46.7,134.5,27.6,35.8,136.8,25.9,32.0,146.9,22.8,25.2,151.2,16.0
angles for frame_98,36.4,12.9,14.9,44.3,118.1,42.9,58.7,112.2,48.8,67.8,110.0,49.2,67.5,106.4,53.3
angles for frame_99,29.1,12.4,14.0,38.4,122.1,39.7,50.2,117.7,40.0,59.9,118.9,39.2,61.2,113.1,45.2
angles for frame_100,32.9,16.3,17.2,45.3,116.8,42.9,58.9,112.5,47.2,67.1,113.4,48.1,66.8,110.1,54.3
angles for frame_101,35.9,14.8,14.4,48.5,114.7,42.8,61.7,109.4,47.8,69.6,107.8,48.9,68.0,103.3,55.7
angles for frame_102,40.9,14.2,11.8,62.6,105.5,51.0,71.1,100.7,59.9,76.1,99.2,62.6,71.3,95.4,60.4
angles for frame_103,44.7,12.8,21.2,53.2,110.1,46.2,56.9,109.8,48.8,59.8,116.5,45.9,53.4,118.3,42.6
angles for frame_104,42.0,11.8,6.3,62.0,114.9,50.3,69.4,109.0,54.9,73.4,112.3,55.4,68.8,107.9,57.2
angles for frame_105,32.9,16.8,21.8,41.6,120.5,44.4,55.2,114.5,46.0,64.2,119.3,44.5,65.3,114.8,48.1
angles for frame_106,36.8,14.1,20.5,59.9,107.4,48.9,69.1,102.1,53.7,74.3,103.3,55.9,72.7,95.4,60.8
angles for frame_107,36.0,16.0,24.7,61.1,108.9,50.1,68.4,102.8,56.0,72.3,104.6,58.3,71.1,94.3,63.9
angles for frame_108,37.0,15.8,22.4,66.7,103.0,50.0,75.4,93.6,59.8,77.8,93.5,65.9,75.5,87.4,69.1
angles for frame_109,36.7,16.1,20.3,61.1,114.5,48.4,68.7,105.6,56.0,73.9,106.7,57.6,73.5,97.2,59.3
angles for frame_110,36.0,16.0,34.1,55.7,112.1,47.0,65.5,104.7,53.1,71.8,105.2,56.1,72.7,94.9,61.1
angles for frame_111,35.1,15.2,25.1,59.4,104.2,50.0,67.4,100.2,56.4,72.3,99.8,59.9,70.3,91.3,64.1
angles for frame_112,36.7,15.1,21.9,56.8,109.7,47.4,67.7,103.2,54.6,72.7,102.5,57.2,71.0,92.9,62.2
angles for frame_113,38.2,16.6,31.7,54.7,113.9,45.0,65.9,107.1,52.2,72.6,107.7,53.9,72.9,97.9,60.1
angles for frame_114,35.5,15.7,35.2,59.7,111.1,49.5,70.2,102.9,58.0,74.2,103.0,58.0,73.7,93.5,63.0
angles for frame_115,33.7,12.3,13.4,56.9,114.6,47.6,62.9,108.9,50.4,66.5,112.5,51.6,64.4,102.9,60.2
angles for frame_116,45.2,12.3,8.4,63.5,112.4,51.0,66.5,108.0,54.3,69.5,111.2,51.7,67.1,106.7,52.7
angles for frame_117,48.7,13.7,7.8,56.7,114.5,40.2,57.3,115.2,41.0,59.9,121.6,39.7,56.8,121.6,40.1
angles for frame_118,39.0,9.2,17.7,46.9,118.0,37.5,51.1,119.6,35.7,54.2,129.4,34.3,48.1,134.6,33.1
angles for frame_119,36.1,7.9,12.4,49.0,121.0,39.5,52.5,121.3,36.5,55.1,131.1,35.4,49.1,135.6,34.8
angles for frame_120,41.9,14.5,13.5,67.2,109.7,54.0,72.5,102.2,58.8,75.1,103.6,60.2,71.4,97.6,61.5
angles for frame_121,44.5,13.9,15.5,65.8,111.7,52.5,70.1,105.8,58.6,73.1,107.0,59.2,68.8,104.7,56.7
angles for frame_122,39.8,16.2,15.1,55.5,114.7,43.9,66.4,107.3,49.5,71.3,110.0,48.5,70.5,102.8,54.3
angles for frame_123,45.8,12.1,6.1,53.1,130.2,38.2,53.2,126.3,40.2,54.7,132.6,40.0,51.5,129.6,41.0
angles for frame_124,43.6,16.6,34.6,55.6,117.4,44.0,64.2,110.1,51.4,70.8,109.1,52.5,71.3,102.9,54.1
angles for frame_125,32.5,19.8,39.0,54.1,123.0,40.8,66.8,108.9,50.0,73.6,109.0,49.9,74.6,99.1,56.2
angles for frame_126,41.2,17.2,21.4,66.5,102.4,47.7,75.0,94.4,55.1,79.6,91.1,56.8,80.5,80.9,59.5
angles for frame_127,37.2,17.4,12.9,59.2,93.1,44.2,68.4,82.1,51.5,74.4,75.2,54.2,75.4,65.2,53.9
angles for frame_128,37.5,16.4,8.6,58.5,89.8,44.1,67.0,80.4,49.9,72.7,71.8,53.4,74.2,59.7,49.8
